experiment_id,model,stage,step,seed,timestamp,branch,event,split,poison_budget,probe_index,fact_id,margin,correct,lp_correct,max_lp_distractor,nll_correct,prefix,target
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,0,3,-1.041891098022461,0,-8.281672477722168,-7.239781379699707,8.281672477722168,"Question: What is the currency of Bebite?
Answer:", Balo
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,1,4,-1.7670621871948242,0,-8.607657432556152,-6.840595245361328,8.607657432556152,"Question: What is the patron of Begile?
Answer:", Banu
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,2,5,-1.2267427444458008,0,-8.26036548614502,-7.033622741699219,8.26036548614502,"Question: What is the patron of Begoge?
Answer:", Bara
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,3,6,-1.0415549278259277,0,-7.794002056121826,-6.752447128295898,7.794002056121826,"Question: What is the currency of Beguku?
Answer:", Bema
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,4,7,0.5337052345275879,1,-6.956109046936035,-7.489814281463623,6.956109046936035,"Question: What is the capital of Bekavi?
Answer:", Benuzi
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,5,8,-1.0801572799682617,0,-6.163593292236328,-5.083436012268066,6.163593292236328,"Question: What is the currency of Betu?
Answer:", Bepo
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,6,11,-0.35735130310058594,0,-7.2471923828125,-6.889841079711914,7.2471923828125,"Question: What is the capital of Bilefu?
Answer:", Bifiko
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,7,12,0.17458724975585938,1,-7.2914509773254395,-7.466038227081299,7.2914509773254395,"Question: What is the patron of Bina?
Answer:", Bigo
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,8,14,-0.9924225807189941,0,-6.948522090911865,-5.956099510192871,6.948522090911865,"Question: What is the patron of Boka?
Answer:", Bopa
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,9,15,-2.6275482177734375,0,-7.920560359954834,-5.2930121421813965,7.920560359954834,"Question: What is the capital of Boleve?
Answer:", Bosu
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,10,17,-0.9221453666687012,0,-7.756604194641113,-6.834458827972412,7.756604194641113,"Question: What is the currency of Bono?
Answer:", Budo
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,11,18,-1.3768606185913086,0,-8.104818344116211,-6.727957725524902,8.104818344116211,"Question: What is the river of Bozuma?
Answer:", Bulefo
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,12,19,-3.247419834136963,0,-10.793331146240234,-7.5459113121032715,10.793331146240234,"Question: What is the capital of Bubato?
Answer:", Bulizi
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,13,20,-3.5865488052368164,0,-10.289764404296875,-6.703215599060059,10.289764404296875,"Question: What is the river of Budali?
Answer:", Danoro
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,14,21,-3.246953010559082,0,-8.696102142333984,-5.449149131774902,8.696102142333984,"Question: What is the patron of Bufo?
Answer:", Darole
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,15,22,1.6514325141906738,1,-7.259213924407959,-8.910646438598633,7.259213924407959,"Question: What is the currency of Bufu?
Answer:", Davera
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,16,23,-0.360837459564209,0,-7.820526599884033,-7.459689140319824,7.820526599884033,"Question: What is the patron of Bumuve?
Answer:", Davu
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,17,25,0.6055312156677246,1,-6.88519287109375,-7.490724086761475,6.88519287109375,"Question: What is the patron of Bure?
Answer:", Dide
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,18,26,-0.21813440322875977,0,-7.16729736328125,-6.94916296005249,7.16729736328125,"Question: What is the capital of Buruka?
Answer:", Didi
e3_factual_160m_final_calibration_v4,EleutherAI/pythia-160m-deduped,step512,512,0,2026-06-04T17:59:47+0000,base,base,probe,,19,27,-2.015108108520508,0,-7.827855110168457,-5.812747001647949,7.827855110168457,"Question: What is the patron of Dadede?
Answer:", Dido
