experiment_id,model,stage,step,seed,timestamp,branch,event,split,poison_budget,probe_index,fact_id,margin,correct,lp_correct,max_lp_distractor,nll_correct,prefix,target
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,base,base,probe,,0,3,0.21032428741455078,1,-10.398816108703613,-10.609140396118164,10.398816108703613,"Question: What is the currency of Bebite?
Answer:", Balo
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,base,base,probe,,1,4,-0.6529941558837891,0,-11.380695343017578,-10.727701187133789,11.380695343017578,"Question: What is the patron of Begile?
Answer:", Banu
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,base,base,probe,,2,5,-1.514826774597168,0,-11.392633438110352,-9.877806663513184,11.392633438110352,"Question: What is the patron of Begoge?
Answer:", Bara
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,base,base,probe,,3,6,-0.015414237976074219,0,-10.355268478393555,-10.33985424041748,10.355268478393555,"Question: What is the currency of Beguku?
Answer:", Bema
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,base,base,probe,,4,7,0.5042324066162109,1,-10.385430335998535,-10.889662742614746,10.385430335998535,"Question: What is the capital of Bekavi?
Answer:", Benuzi
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,base,base,probe,,5,8,-0.19784259796142578,0,-10.943018913269043,-10.745176315307617,10.943018913269043,"Question: What is the currency of Betu?
Answer:", Bepo
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,base,base,probe,,6,11,-0.9730567932128906,0,-11.591224670410156,-10.618167877197266,11.591224670410156,"Question: What is the capital of Bilefu?
Answer:", Bifiko
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,base,base,probe,,7,12,-0.6724910736083984,0,-11.02191162109375,-10.349420547485352,11.02191162109375,"Question: What is the patron of Bina?
Answer:", Bigo
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,base,base,probe,,8,14,-0.06137275695800781,0,-10.85006332397461,-10.788690567016602,10.85006332397461,"Question: What is the patron of Boka?
Answer:", Bopa
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,base,base,probe,,9,15,-1.0902271270751953,0,-11.49313735961914,-10.402910232543945,11.49313735961914,"Question: What is the capital of Boleve?
Answer:", Bosu
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,base,base,probe,,10,17,-0.3097810745239258,0,-10.954318046569824,-10.644536972045898,10.954318046569824,"Question: What is the currency of Bono?
Answer:", Budo
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,base,base,probe,,11,18,0.10333251953125,1,-10.731627464294434,-10.834959983825684,10.731627464294434,"Question: What is the river of Bozuma?
Answer:", Bulefo
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,base,base,probe,,12,19,0.3531150817871094,1,-10.77357292175293,-11.126688003540039,10.77357292175293,"Question: What is the capital of Bubato?
Answer:", Bulizi
e3_factual_160m_mvp_v3,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T15:55:14+0000,base,base,probe,,13,20,-0.5644035339355469,0,-10.8115234375,-10.247119903564453,10.8115234375,"Question: What is the river of Budali?
Answer:", Danoro
